tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2481,Auckland,Hard,,A,20240105,11944630,210490,,,Patrick Kypson,R,188,USA,24,79223,,A,Jake Delaney,R,185,AUS,27,6-1 6-4 0-0,3,RR,214,9,0,42,31,27,6,8,1,1,5,2,62,45,27,5,9,1,5,157,,500,
2481,Auckland,Hard,,A,20240105,11945107,62790,8,,Constant Lestienne,R,180,FRA,32,119144,,LL,Alexander Klintcharov,R,188,NZL,27,6-0 6-2 0-0,3,RR,29,3,3,48,21,17,16,7,1,1,0,0,36,26,10,2,7,0,5,92,,1224,
21817,"ATP Hong Kong, Hong Kong Men Singles",Hard,,A,20240105,11926074,167370,,,Emil Ruusuvuori,R,188,FIN,25,83397,,,Sebastian Ofner,R,191,AUT,28,4-6 7-5(2) 6-3,3,SF,34,9,1,88,60,48,16,16,2,4,11,1,100,56,40,22,15,9,12,87,,45,
2481,Auckland,Hard,,A,20240105,11941654,126356,7,,Jaume Munar,R,183,ESP,27,41857,,,Jiri Vesely,L,198,CZE,31,6-2 7-6(2) 0-0,3,RR,58,11,3,65,42,34,15,11,0,0,13,2,67,44,32,10,10,3,5,63,,237,
2481,Auckland,Hard,,A,20240105,11944636,406656,,WC,Jack Loutit,U,,NZL,20,54387,,A,Blake Mott,R,180,AUS,28,7-5(2) 6-2 0-0,3,RR,36,4,1,69,44,30,12,10,4,6,3,9,55,27,22,6,10,0,5,878,,352,
2481,Auckland,Hard,,A,20240105,11941650,406728,,,Alex Michelsen,U,193,USA,19,67154,5,,Gregoire Barrere,R,183,FRA,30,6-2 6-2 0-0,3,RR,32,6,1,54,33,25,13,8,5,5,2,3,53,37,21,5,8,4,8,55,,130,
2481,Auckland,Hard,,A,20240105,11945145,335102,,,Luca Van Assche,R,178,FRA,20,16082,,A,Artem Sitak,U,,NZL,,6-1 6-1 0-0,3,RR,26,2,1,32,25,23,5,7,0,0,2,2,57,41,22,3,7,6,11,104,,,
2481,Auckland,Hard,,A,20240105,11944634,88992,3,,Alexandre Muller,R,183,FRA,27,90110,,A,Nino Serdarusic,R,191,HRV,27,6-3 6-4 0-0,3,RR,40,3,1,54,34,28,11,10,1,2,9,2,61,35,26,11,9,7,10,102,,409,
14522,Adelaide,Hard,,A,20240106,11945285,108565,5,,Bernabe Zapata Miralles,R,183,ESP,27,119140,,A,Blake Ellis,R,191,AUS,25,6-3 6-2 0-0,3,RR,32,3,1,48,37,28,7,9,1,2,4,1,50,24,14,12,8,0,4,194,,375,
2437,Brisbane,Hard,,A,20240106,11925849,23581,2,,Grigor Dimitrov,R,191,BGR,33,283070,1,,Holger Rune,R,188,DNK,21,7-6(2) 6-4 0-0,3,F,62,8,2,74,52,40,13,12,3,3,9,3,95,58,44,16,11,8,9,10,,15,
21817,"ATP Hong Kong, Hong Kong Men Singles",Hard,,A,20240106,11926071,106755,1,,Andrey Rublev,R,188,RUS,26,167370,,,Emil Ruusuvuori,R,188,FIN,25,6-4 6-4 0-0,3,F,33,5,0,58,40,29,14,10,1,1,5,4,62,39,26,12,10,5,7,6,,87,
14522,Adelaide,Hard,,A,20240106,11945286,58369,,A,Alex Bolt,L,183,AUS,31,238300,3,,Tomas Machac,R,183,CZE,23,6-1 6-1 0-0,3,RR,27,6,0,32,22,21,7,7,0,0,1,1,45,31,13,6,7,2,7,234,,39,
14522,Adelaide,Hard,,A,20240106,11945280,161262,4,,Thiago Seyboth Wild,R,185,BRA,24,39712,,A,Luke Saville,R,188,AUS,30,1-6 6-3 6-2,3,RR,42,6,2,74,47,37,11,12,1,3,5,6,96,52,34,23,12,11,14,74,,338,
14522,Adelaide,Hard,,A,20240106,11945300,264372,7,,Facundo Diaz Acosta,L,183,ARG,23,157302,,,Yosuke Watanuki,R,180,JPN,26,4-6 7-6(2) 7-6(2),3,RR,134,3,3,110,67,50,28,18,0,1,9,7,122,66,50,32,18,5,5,67,,163,
