tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,best_of,round,minutes,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,winner_odds,loser_odds,score,w1,w2,w3,w4,w5,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l1,l2,l3,l4,l5,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,loser_rank
21817.0,"ATP Hong Kong, Hong Kong Men Singles",Hardcourt outdoor,,A,20240104,11926063.0,3,R16,166.0,83397.0,,,Sebastian Ofner,R,191.0,AUT,28.0,46391.0,5,,Jan Lennard Struff,R,193.0,DEU,34,2.2,1.67,,6.0,7.0,7.0,0.0,0.0,16.0,1.0,123.0,70.0,55.0,29.0,20,4,6,7.0,6.0,6.0,0.0,0.0,14.0,4.0,131.0,76.0,56.0,29.0,19,10,12,45.0,41
21817.0,"ATP Hong Kong, Hong Kong Men Singles",Hardcourt outdoor,,A,20240104,11926073.0,3,R16,121.0,338500.0,8,,Arthur Fils,R,185.0,FRA,20.0,145112.0,,Q,Huesler Marc Andrea Husler,L,196.0,CHE,28,1.4,3.0,,7.0,7.0,0.0,0.0,0.0,3.0,5.0,78.0,51.0,38.0,11.0,12,5,7,5.0,5.0,0.0,0.0,0.0,9.0,4.0,94.0,55.0,37.0,16.0,12,11,15,34.0,229
21817.0,"ATP Hong Kong, Hong Kong Men Singles",Hardcourt outdoor,,A,20240104,11926066.0,3,R16,107.0,106755.0,1,,Andrey Rublev,R,188.0,RUS,26.0,47764.0,,Q,Liam Broady,L,183.0,GBR,30,1.08,8.0,,6.0,7.0,0.0,0.0,0.0,10.0,3.0,69.0,38.0,31.0,18.0,11,1,3,4.0,6.0,0.0,0.0,0.0,4.0,2.0,91.0,63.0,43.0,10.0,12,7,10,6.0,156
2437.0,Brisbane,Hardcourt outdoor,,A,20240104,11925851.0,3,QF,120.0,124930.0,,,Roman Safiullin,R,185.0,RUS,26.0,299538.0,,,Matteo Arnaldi,R,185.0,ITA,23,1.36,3.2,,7.0,6.0,0.0,0.0,0.0,9.0,3.0,72.0,43.0,36.0,14.0,11,2,3,6.0,2.0,0.0,0.0,0.0,3.0,2.0,70.0,37.0,27.0,17.0,10,5,8,44.0,35
2481.0,Auckland,Hardcourt outdoor,,A,20240105,11944636.0,3,RR,91.0,406656.0,,WC,Jack Loutit,U,,NZL,20.0,54387.0,,A,Blake Mott,R,180.0,AUS,28,3.4,1.3,,7.0,6.0,0.0,0.0,0.0,4.0,1.0,69.0,44.0,30.0,12.0,10,4,6,5.0,2.0,0.0,0.0,0.0,3.0,9.0,55.0,27.0,22.0,6.0,10,0,5,781.0,353
2481.0,Auckland,Hardcourt outdoor,,A,20240105,11941654.0,3,RR,100.0,126356.0,7,,Jaume Munar,R,183.0,ESP,27.0,41857.0,,,Jiri Vesely,L,198.0,CZE,31,1.62,2.2,,6.0,7.0,0.0,0.0,0.0,11.0,3.0,65.0,42.0,34.0,15.0,11,0,0,2.0,6.0,0.0,0.0,0.0,13.0,2.0,67.0,44.0,32.0,10.0,10,3,5,59.0,264
2481.0,Auckland,Hardcourt outdoor,,A,20240105,11941637.0,3,RR,217.0,102151.0,6,,Alejandro Tabilo,L,188.0,CHL,27.0,290624.0,,WC,Isaac Becroft,U,180.0,NZL,23,1.07,9.0,,6.0,6.0,0.0,0.0,0.0,11.0,3.0,38.0,24.0,22.0,7.0,6,0,0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,37.0,25.0,8.0,6.0,7,3,8,19.0,931
21817.0,"ATP Hong Kong, Hong Kong Men Singles",Hardcourt outdoor,,A,20240105,11926065.0,3,QF,514.0,106755.0,1,,Andrey Rublev,R,188.0,RUS,26.0,338500.0,8,,Arthur Fils,R,185.0,FRA,20,1.29,3.75,,6.0,1.0,6.0,0.0,0.0,8.0,0.0,64.0,40.0,30.0,15.0,12,4,6,4.0,6.0,2.0,0.0,0.0,12.0,7.0,92.0,53.0,38.0,15.0,13,7,10,6.0,34
21817.0,"ATP Hong Kong, Hong Kong Men Singles",Hardcourt outdoor,,A,20240105,11926064.0,3,QF,94.0,348853.0,,WC,Juncheng Shang,L,180.0,CHN,19.0,101101.0,3,,Tiafoe Frances Tiafoe F.,R,188.0,USA,26,3.75,1.29,,6.0,6.0,0.0,0.0,0.0,3.0,1.0,54.0,25.0,19.0,23.0,10,1,1,4.0,4.0,0.0,0.0,0.0,12.0,2.0,56.0,34.0,28.0,11.0,10,6,8,91.0,29
21817.0,"ATP Hong Kong, Hong Kong Men Singles",Hardcourt outdoor,,A,20240105,11926060.0,3,QF,84.0,83397.0,,,Sebastian Ofner,R,191.0,AUT,28.0,16720.0,,,Roberto Bautista Agut,R,183.0,ESP,36,3.2,1.36,,6.0,6.0,0.0,0.0,0.0,21.0,0.0,56.0,42.0,35.0,7.0,10,0,0,4.0,4.0,0.0,0.0,0.0,0.0,2.0,61.0,43.0,35.0,8.0,10,4,6,45.0,112
