player,last_date,match_number,matches_played,elo_rating,sets_elo_rating,lefty_elo_rating,righty_elo_rating,hard_elo_rating,clay_elo_rating,grass_elo_rating,outdoor_elo_rating,indoor_elo_rating,set_elo_rating,game_elo_rating,service_game_elo_rating,return_game_elo_rating,tie_break_elo_rating
Zeljko Franulovic,1983-07-18,11,735,1782.3600341855567,1500,1500,1500,1674.924495058391,1761.007914119379,1683.4983536061056,1500,1500,1500,1500,1500,1500,1500
Ingo Buding,1971-07-19,284,108,1603.6354839904127,1500,1500,1500,1587.8180426972556,1636.764711990917,1508.8834561778083,1500,1500,1500,1500,1500,1500,1500
Tom Leonard,1982-04-12,24,186,1834.9700838412878,1500,1500,1500,1765.670626093032,1115.3570220851461,1706.7151417660202,1500,1500,1500,1500,1500,1500,1500
Brian Cheney,1974-03-27,9,16,1573.015851914652,1500,1500,1500,1372.1874638126167,1591.345211539804,1483.734907564116,1500,1500,1500,1500,1500,1500,1500
Dick Leach,1969-09-20,18,28,1672.8463071924825,1500,1500,1500,1508.8502385896209,1634.0469021902163,1619.0504249622936,1500,1500,1500,1500,1500,1500,1500
Joaquin Loyo Mayo,1978-08-21,12,263,1657.673218710278,1500,1500,1500,1472.1812214979489,1581.7369392714927,1694.2565385557077,1500,1500,1500,1500,1500,1500,1500
Roy Emerson,1983-07-04,6,435,1997.436141135246,1500,1500,1500,1828.2283911123993,1867.830364717831,1904.1157196192285,1500,1500,1500,1500,1500,1500,1500
Richard Russell,1975-11-07,1,165,1555.6630806693252,1500,1500,1500,1706.0019636188892,1135.1372702286017,1486.6756336612025,1500,1500,1500,1500,1500,1500,1500
Patricio Rodriguez Chi,1978-08-14,4,94,1377.0812688452172,1500,1500,1500,1583.9608239483225,1238.4859905347118,1153.7128412214474,1500,1500,1500,1500,1500,1500,1500
Jorge Andrew,1983-03-04,5,167,1306.1774282167892,1500,1500,1500,1096.6433997661682,1401.1627481110095,1608.2930596552967,1500,1500,1500,1500,1500,1500,1500
Dumitru Viziru,1968-03-18,164,3,1575.8467186076355,1500,1500,1500,1500.0,1500.0,1500.0,1500,1500,1500,1500,1500,1500,1500
Georges Goven,1984-07-23,5,437,1697.3413690398702,1500,1500,1500,1701.4896217308017,1611.5228035880548,1545.4954012129472,1500,1500,1500,1500,1500,1500,1500
Tadeusz Nowicki,1981-06-12,4,63,1673.047863367858,1500,1500,1500,1500.0,1774.9510899729469,946.1183884870345,1500,1500,1500,1500,1500,1500,1500
Giuseppe Merlo,1973-06-02,23,23,1689.418339424336,1500,1500,1500,1500.0,1673.2278616190617,1380.0,1500,1500,1500,1500,1500,1500,1500
Detler Herdy,1969-08-11,281,15,1607.475829126987,1500,1500,1500,1500.0,1598.1645818447575,1500.0,1500,1500,1500,1500,1500,1500,1500
Geza Varga,1976-07-18,35,35,1692.0103134605336,1500,1500,1500,1622.5662650372644,1618.7552635771035,1414.73231756399,1500,1500,1500,1500,1500,1500,1500
Rolf Harms,1968-03-18,165,3,1572.030967597948,1500,1500,1500,1500.0,1500.0,1500.0,1500,1500,1500,1500,1500,1500,1500
Stanley Matthews,1973-06-25,17,51,1700.8045520421394,1500,1500,1500,1482.826907155107,1387.461022288015,1671.4523072859847,1500,1500,1500,1500,1500,1500,1500
Thomas Lejus,1971-05-21,55,53,1665.1961230515087,1500,1500,1500,1500.0,1542.1533094791525,1612.9163125457055,1500,1500,1500,1500,1500,1500,1500
Sever Dron,1971-08-02,277,20,1451.7996324494934,1500,1500,1500,1500.0,1178.7484427435652,1390.7312953779974,1500,1500,1500,1500,1500,1500,1500
Frank Tutvin,1969-08-04,292,16,1587.6812557657433,1500,1500,1500,1500.0,1597.1585805354023,1302.0025486383686,1500,1500,1500,1500,1500,1500,1500
Wieslaw Gasiorek,1972-07-16,14,54,1724.6947729003628,1500,1500,1500,1500.0,1736.4149564420306,1374.7365881211622,1500,1500,1500,1500,1500,1500,1500
