Player,Matches,Win Rate,Hand Preference,Hard +/- %,Clay +/- %,Grass +/- %
Martin Verkerk,123,0.45528455284552843,0,0.375,0.5081967213114754,0.25
Harel Levy,157,0.39490445859872614,0,0.375,0.4358974358974359,0.42857142857142855
Michael Kohlmann,72,0.3333333333333333,0,0.20833333333333334,0.4444444444444444,0.35714285714285715
Aisam Ul Haq Qureshi,70,0.5714285714285714,0,0.52,0.5384615384615384,0.625
Roger Federer,1505,0.8172757475083057,0.04367945722903965,0.8313513513513513,0.757679180887372,0.8669724770642202
Juan Balcells,88,0.45454545454545453,0,0.42857142857142855,0.5208333333333334,0.0
Fernando Gonzalez,556,0.6492805755395683,0.0627152746990417,0.6130268199233716,0.7043478260869566,0.6216216216216216
Bjorn Phau,211,0.35545023696682465,0,0.3897058823529412,0.35714285714285715,0.07142857142857142
Feliciano Lopez,969,0.5046439628482973,-0.04054054054054057,0.4908424908424908,0.4734848484848485,0.625
Andreas Vinciguerra,185,0.4594594594594595,0,0.4895833333333333,0.43478260869565216,0.2857142857142857
James Blake,611,0.5793780687397708,-0.10331924131627057,0.6247139588100686,0.45454545454545453,0.4915254237288136
Taylor Dent,276,0.5217391304347826,0.08389830508474577,0.5247524752475248,0.2857142857142857,0.5714285714285714
Michael Russell,219,0.3424657534246575,0,0.38028169014084506,0.24444444444444444,0.3125
Markus Hantschk,67,0.3880597014925373,0,0.3333333333333333,0.4444444444444444,0.25
Danai Udomchoke,128,0.4453125,0,0.45054945054945056,0.45454545454545453,0.3157894736842105
Radek Stepanek,661,0.5612708018154312,-0.13460691257158874,0.5579514824797843,0.5511363636363636,0.5882352941176471
Juan Carlos Ferrero,713,0.6451612903225806,0.005424836601307215,0.5666666666666667,0.7291666666666666,0.6086956521739131
Tommy Robredo,870,0.5977011494252874,-0.056446046475956746,0.5572139303482587,0.6614173228346457,0.5454545454545454
Tomas Zib,137,0.29927007299270075,0,0.3114754098360656,0.2830188679245283,0.375
Kristian Pless,137,0.38686131386861317,0,0.40963855421686746,0.36,0.14285714285714285
Christophe Rochus,323,0.3498452012383901,-0.010382809678584348,0.31666666666666665,0.425,0.12
Gaston Gaudio,453,0.5761589403973509,-0.014036805810584752,0.42727272727272725,0.6516129032258065,0.25
Agustin Calleri,381,0.5380577427821522,-0.02796546546546541,0.45454545454545453,0.6197183098591549,0.23076923076923078
Noam Okun,93,0.3870967741935484,0,0.4,0.4,0.3333333333333333
Jean Rene Lisnard,135,0.37037037037037035,0,0.3333333333333333,0.4142857142857143,0.0
Alexander Popp,110,0.4090909090909091,0,0.36585365853658536,0.19230769230769232,0.631578947368421
Jurgen Melzer,665,0.5052631578947369,-0.07583329974608038,0.501466275659824,0.5151515151515151,0.5205479452054794
Cyril Saulnier,180,0.4,0,0.4,0.13333333333333333,0.391304347826087
Igor Kunitsyn,236,0.3601694915254237,0,0.3708609271523179,0.26666666666666666,0.29411764705882354
Irakli Labadze,128,0.390625,0,0.3269230769230769,0.45614035087719296,0.3333333333333333
Juan Ignacio Chela,585,0.535042735042735,0.0478395061728395,0.4978723404255319,0.5869565217391305,0.26666666666666666
Jeff Morrison,90,0.35555555555555557,0,0.373134328358209,0.14285714285714285,0.375
Mario Ancic,335,0.6119402985074627,0.0452380952380953,0.5904255319148937,0.5666666666666667,0.7254901960784313
Jarkko Nieminen,728,0.5425824175824175,0.007498715973292214,0.5440180586907449,0.5606060606060606,0.42592592592592593
Oliver Marach,51,0.37254901960784315,0,0.23076923076923078,0.4411764705882353,0.0
Mikhail Youzhny,882,0.546485260770975,0.037135837135837124,0.5574468085106383,0.5059288537549407,0.5631067961165048
Michael Llodra,383,0.4725848563968668,-0.07167308515190418,0.4721030042918455,0.3333333333333333,0.6507936507936508
Mardy Fish,502,0.5796812749003984,-3.347056264013659e-05,0.5972222222222222,0.4444444444444444,0.6470588235294118
Sergio Roitman,84,0.27380952380952384,0,0.1111111111111111,0.3442622950819672,0.0
Nikolay Davydenko,782,0.6074168797953964,-0.07941569484936839,0.6073170731707317,0.621160409556314,0.3448275862068966
Paul Henri Mathieu,551,0.4863883847549909,0.02191900926078144,0.47692307692307695,0.5023696682464455,0.42857142857142855
Michel Kratochvil,167,0.4251497005988024,0,0.4367816091954023,0.391304347826087,0.5
Olivier Rochus,500,0.452,-0.14019314019314016,0.4672131147540984,0.3881578947368421,0.5128205128205128
Andy Roddick,799,0.7496871088861077,-0.07974517044103901,0.7627737226277372,0.6548672566371682,0.7961165048543689
Guillermo Coria,315,0.6761904761904762,-0.09128913085747625,0.6146788990825688,0.7386363636363636,0.5555555555555556
Gilles Muller,436,0.5137614678899083,-0.13561612975895476,0.5206896551724138,0.4745762711864407,0.5384615384615384
Ivo Karlovic,695,0.5223021582733813,0.0500486922648859,0.5229357798165137,0.42857142857142855,0.6293103448275862
Jan Hernych,192,0.3958333333333333,0,0.40404040404040403,0.3170731707317073,0.48717948717948717
Nicolas Mahut,395,0.44556962025316454,-0.19195504288671994,0.41363636363636364,0.3090909090909091,0.616822429906542
David Nalbandian,562,0.6637010676156584,-0.009715380405035612,0.6510791366906474,0.6715686274509803,0.6888888888888889
Joachim Johansson,127,0.5669291338582677,0,0.6413043478260869,0.1875,0.5
Flavio Saretta,151,0.48344370860927155,0,0.425,0.5106382978723404,0.5
Jose Acasuso,358,0.5223463687150838,-0.1107181948303444,0.3786407766990291,0.6033755274261603,0.0
Alexander Peya,70,0.3,0,0.34782608695652173,0.2727272727272727,0.21052631578947367
Jan Vacek,88,0.3181818181818182,0,0.26666666666666666,0.26666666666666666,0.4444444444444444
Marc Lopez,52,0.4230769230769231,0,0.5,0.4222222222222222,0.3333333333333333
Julien Benneteau,556,0.4748201438848921,-0.06022204777391493,0.4913294797687861,0.4074074074074074,0.47368421052631576
Dmitry Tursunov,433,0.5219399538106235,0.01425024826216481,0.5340501792114696,0.4084507042253521,0.578125
Robby Ginepri,387,0.48320413436692505,-0.09742158426368958,0.5145985401459854,0.2857142857142857,0.4897959183673469
Albert Montanes,520,0.4673076923076923,0.13076427570004928,0.28448275862068967,0.5326370757180157,0.3157894736842105
Robin Soderling,470,0.6510638297872341,-0.0012305168170632097,0.6553030303030303,0.6296296296296297,0.6046511627906976
Ricardo Mello,151,0.37748344370860926,0,0.3855421686746988,0.43636363636363634,0.1111111111111111
Ruben Ramirez Hidalgo,198,0.3383838383838384,0,0.19444444444444445,0.39473684210526316,0.0
Lukasz Kubot,226,0.4247787610619469,0,0.3592233009708738,0.46875,0.5
Victor Estrella,150,0.5133333333333333,-0.03280423280423278,0.4492753623188406,0.6268656716417911,0.2857142857142857
Jimmy Wang,87,0.4482758620689655,0,0.4423076923076923,0.2857142857142857,0.391304347826087
Yen Hsun Lu,374,0.4197860962566845,-0.10244648318042815,0.4295774647887324,0.21739130434782608,0.43548387096774194
Alejandro Falla,272,0.39705882352941174,-0.05094537815126049,0.37735849056603776,0.4393939393939394,0.3902439024390244
Janko Tipsarevic,513,0.5419103313840156,0.052919020715630816,0.5540540540540541,0.5294117647058824,0.5441176470588235
Filippo Volandri,380,0.45,0.04056315273209854,0.12903225806451613,0.5371621621621622,0.18181818181818182
Stefano Galvani,55,0.32727272727272727,0,0.25,0.32142857142857145,0.42857142857142855
Alex Bogomolov Jr,172,0.4011627906976744,0,0.4148148148148148,0.15384615384615385,0.4583333333333333
Brian Vahaly,63,0.31746031746031744,0,0.3404255319148936,0.16666666666666666,0.3
David Ferrer,1089,0.6611570247933884,0.05492854075936937,0.6380597014925373,0.7032258064516129,0.6176470588235294
Alexander Waske,90,0.3111111111111111,0,0.24,0.3409090909090909,0.2857142857142857
Richard Gasquet,958,0.6127348643006263,-0.04270187955024307,0.6092362344582594,0.6052631578947368,0.6548672566371682
Frank Dancevic,174,0.39655172413793105,0,0.3867924528301887,0.058823529411764705,0.5
Victor Hanescu,423,0.44680851063829785,-0.043125317097919835,0.32666666666666666,0.5374449339207048,0.41935483870967744
Fernando Verdasco,978,0.5501022494887525,-0.0467968943879179,0.5206611570247934,0.5922077922077922,0.5268817204301075
Marc Gicquel,197,0.4517766497461929,0,0.422680412371134,0.4482758620689655,0.4166666666666667
Karol Beck,174,0.3563218390804598,0,0.3584905660377358,0.047619047619047616,0.4375
Rafael Nadal,1256,0.8320063694267515,-0.04914838834042434,0.7807153965785381,0.9119373776908023,0.7978723404255319
Rik De Voest,85,0.36470588235294116,0,0.4,0.2222222222222222,0.2727272727272727
Wesley Moodie,124,0.45161290322580644,0,0.46511627906976744,0.0,0.43478260869565216
Philipp Kohlschreiber,833,0.553421368547419,-0.09619743137748682,0.5333333333333333,0.5645161290322581,0.6129032258064516
Martin Vassallo Arguello,121,0.36363636363636365,0,0.14814814814814814,0.4367816091954023,0.2857142857142857
Rajeev Ram,146,0.3835616438356164,0,0.32673267326732675,0.4,0.5428571428571428
Brian Baker,59,0.3389830508474576,0,0.25,0.5555555555555556,0.5
Denis Gremelmayr,86,0.3488372093023256,0,0.32,0.4444444444444444,0.2222222222222222
Thierry Ascione,73,0.273972602739726,0,0.3333333333333333,0.25,0.0
Marcos Daniel,82,0.25609756097560976,0,0.047619047619047616,0.35185185185185186,0.14285714285714285
Prakash Amritraj,52,0.36538461538461536,0,0.15384615384615385,0.0,0.6521739130434783
Olivier Patience,79,0.3291139240506329,0,0.21052631578947367,0.3584905660377358,0.5
Peter Luczak,127,0.31496062992125984,0,0.3275862068965517,0.2833333333333333,0.4444444444444444
Chris Guccione,108,0.39814814814814814,0,0.44594594594594594,0.14285714285714285,0.4
Stan Wawrinka,888,0.6204954954954955,0.03541853736406264,0.6276803118908382,0.6472602739726028,0.48484848484848486
Oscar Hernandez,182,0.3516483516483517,0,0.14285714285714285,0.4172661870503597,0.125
Robert Kendrick,112,0.3125,0,0.35365853658536583,0.16666666666666666,0.2222222222222222
Kristof Vliegen,203,0.4236453201970443,0,0.4090909090909091,0.45569620253164556,0.36
Philipp Petzschner,188,0.4627659574468085,-0.08253205128205127,0.47706422018348627,0.38095238095238093,0.5135135135135135
Amer Delic,88,0.36363636363636365,0,0.4,0.2,0.25
Igor Andreev,454,0.5066079295154186,0.1474191718661373,0.4708994708994709,0.539906103286385,0.48484848484848486
Tomas Berdych,961,0.6534859521331946,-0.00995717897126347,0.653910149750416,0.6363636363636364,0.6804123711340206
Frederik Nielsen,57,0.45614035087719296,0,0.45454545454545453,0.36363636363636365,0.0
