tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,best_of,round,minutes,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,w1,w2,w3,w4,w5,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l1,l2,l3,l4,l5,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,loser_rank
2023-9900,United Cup,Hard,18,A,20230102,280,3,RR,136,111815,15,,Cameron Norrie,L,188,GBR,27,126203,3,,Taylor Fritz,R,193,USA,25,6,5,6,,,7,0,91,69,53,9,16,5,8,4,7,4,,,16,2,95,58,39,21,16,4,8,14,9
2023-9900,United Cup,Hard,18,A,20230102,283,3,RR,57,207518,,,Lorenzo Musetti,R,185,ITA,20,207415,,,Daniel Michalski,R,180,POL,22,6,6,,,,8,0,31,18,17,11,7,0,0,1,1,,,,1,1,40,28,12,5,7,4,9,23,260
2023-9900,United Cup,Hard,18,A,20230102,284,3,RR,116,126610,5,,Matteo Berrettini,R,196,ITA,26,128034,2,,Hubert Hurkacz,R,196,POL,25,6,3,6,,,11,1,77,49,37,18,14,2,4,4,6,3,,,12,1,79,49,36,16,14,1,4,16,10
2023-9900,United Cup,Hard,18,A,20230102,287,3,RR,89,127339,,,Borna Gojo,R,196,CRO,24,208852,,,Stefanos Sakellaridis,U,,GRE,18,6,6,,,,4,1,50,30,27,11,9,1,1,4,2,,,,4,1,78,50,30,12,9,6,9,144,803
2023-9900,United Cup,Hard,18,A,20230102,288,3,RR,151,126774,1,,Stefanos Tsitsipas,R,193,GRE,24,106432,8,,Borna Coric,R,188,CRO,26,6,6,7,,,20,1,94,60,45,20,15,5,6,0,7,5,,,7,2,88,59,44,10,15,2,7,4,26
2023-9900,United Cup,Hard,18,A,20230102,291,3,SF,62,207518,,,Lorenzo Musetti,R,185,ITA,20,208852,,,Stefanos Sakellaridis,U,,GRE,18,6,6,,,,2,1,41,25,18,12,7,1,1,1,1,,,,2,1,43,26,15,5,7,4,9,23,803
2023-9900,United Cup,Hard,18,A,20230102,292,3,SF,155,126774,1,,Stefanos Tsitsipas,R,193,GRE,24,126610,5,,Matteo Berrettini,R,196,ITA,26,4,7,6,,,9,1,98,52,43,28,16,1,2,6,6,4,,,7,2,89,58,48,18,16,1,2,4,16
2023-9900,United Cup,Hard,18,A,20230102,295,3,SF,79,126207,,,Frances Tiafoe,R,188,USA,24,200390,,,Kacper Zuk,R,183,POL,23,6,6,,,,5,4,61,37,31,11,9,5,5,3,3,,,,3,3,68,41,26,12,9,6,9,19,245
2023-9900,United Cup,Hard,18,A,20230102,296,3,SF,104,126203,3,,Taylor Fritz,R,193,USA,25,128034,2,,Hubert Hurkacz,R,196,POL,25,7,7,,,,11,0,80,50,44,19,12,4,4,6,6,,,,17,1,82,62,51,7,12,2,2,9,10
2023-9900,United Cup,Hard,18,A,20230102,299,3,F,34,126207,,,Frances Tiafoe,R,188,USA,24,207518,,,Lorenzo Musetti,R,185,ITA,20,6,0,,,,3,1,27,19,15,3,4,3,3,2,0,,,,0,0,21,12,8,3,4,1,3,19,23
